id,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2
335982,Bangalore,2008-04-18,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140,NA,Asad Rauf,RE Koertzen
335983,Chandigarh,2008-04-19,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,NA,MR Benson,SL Shastri
335984,Delhi,2008-04-19,MF Maharoof,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9,NA,Aleem Dar,GA Pratapkumar
335985,Mumbai,2008-04-20,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5,NA,SJ Davis,DJ Harper
335986,Kolkata,2008-04-20,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,NA,BF Bowden,K Hariharan
335987,Jaipur,2008-04-21,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,NA,Aleem Dar,RB Tiffin
335988,Hyderabad,2008-04-22,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9,NA,IL Howell,AM Saheba
335989,Chennai,2008-04-23,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,NA,DJ Harper,GA Pratapkumar
335990,Hyderabad,2008-04-24,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,NA,Asad Rauf,MR Benson
335991,Chandigarh,2008-04-25,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66,NA,Aleem Dar,AM Saheba
335992,Bangalore,2008-04-26,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,NA,MR Benson,IL Howell
335993,Chennai,2008-04-26,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9,NA,BF Bowden,AV Jayaprakash
335994,Mumbai,2008-04-27,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10,NA,Asad Rauf,SL Shastri
335995,Chandigarh,2008-04-27,SM Katich,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4,NA,RE Koertzen,I Shivram
335996,Bangalore,2008-04-28,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13,NA,BR Doctrove,RB Tiffin
335997,Kolkata,2008-04-29,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7,NA,BF Bowden,AV Jayaprakash
335998,Delhi,2008-04-30,GD McGrath,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Daredevils,runs,10,NA,Aleem Dar,I Shivram
335999,Hyderabad,2008-05-01,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7,NA,BR Doctrove,RB Tiffin
336000,Jaipur,2008-05-01,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45,NA,RE Koertzen,GA Pratapkumar
336001,Chennai,2008-05-02,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,8,NA,BF Bowden,K Hariharan
336003,Chandigarh,2008-05-03,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9,NA,DJ Harper,I Shivram
336034,Bangalore,2008-05-03,P Kumar,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bengaluru,runs,3,NA,BR Doctrove,SL Shastri
336004,Mumbai,2008-05-04,SM Pollock,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29,NA,IL Howell,RE Koertzen
336005,Jaipur,2008-05-04,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8,NA,Asad Rauf,AV Jayaprakash
336006,Bangalore,2008-05-05,S Sreesanth,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6,NA,SJ Davis,BR Doctrove
336007,Chennai,2008-05-06,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7,NA,MR Benson,RB Tiffin
336008,Mumbai,2008-05-07,A Nehra,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,wickets,7,NA,DJ Harper,RE Koertzen
336009,Delhi,2008-05-08,MS Dhoni,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4,NA,Aleem Dar,RB Tiffin
336010,Kolkata,2008-05-08,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5,NA,Asad Rauf,IL Howell
